WIRELESS ACCESS POINTS,WIRELESS ACCESS POINTS,,,,,,,
WIRELESS ACCESS POINTS,Wireless access point,56,4.1,,0.1,,Ea,BE: [$41.03] - (Electrician)
WIRELESS ACCESS POINT,WIRELESS ACCESS POINT,,,,,,,
WIRELESS ACCESS POINT,Wireless access point,73.4,6.1,,0.1,,Ea,CE: [$61.01] - (Electrician)
EXTENDED RANGE FOR A WIRELESS ACCESS POINT,EXTENDED RANGE FOR A WIRELESS ACCESS POINT,,,,,,,
EXTENDED RANGE FOR A WIRELESS ACCESS POINT,18Dbi high gain panel antenna,132,6.1,,0.1,,Ea,CE: [$61.01] - (Electrician)
ACCESS AND SECURE CONTROL UNITS,ACCESS AND SECURE CONTROL UNITS,,,,,,,
ACCESS AND SECURE CONTROL UNITS,For balanced magnetic door switches,368,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For photoelectric sensors,673,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For capacitance sensors,682,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For audio and vibration sensors,787,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For inertia sensors,706,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For nimmer (m.b.) detector,586,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For electric cable sensors,3550,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For ultrasonic sensors,1070,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
ACCESS AND SECURE CONTROL UNITS,For microwave sensors,666,157,,3.06,,Ea,"E4: [$51.34] - (Laborer, Electrician)"
