id,part,upc,cost,updated upc
2933,1 1/2 BEAM CLAMP 5/16-18,78456410532,0,78174700952
2894,1 1/2 DIECAST HUB CONNECTOR,66227700822,0,78174709155
444,1 1/2 KO SNAP IN BLANK,78456410339,0,78174701691
2842,1 1/2 NM SCREW (ROMEX) CONNECTOR DIECAST,78456412670,0,78174715675
2829,1 1/2 SQUEEZE FLEX CONNECTOR,78456400337,0,78174715414
2818,1 1/4 90 DEGREE SCREW CLAMP FLEX CONNECTOR,78456400358,0,78174715808
2723,1 1/4 AND 1 1/2 CONDUIT BODY COVER w/GASKET,66227700444,0,78429732354
2250,1 1/4 CONDUIT BODY COVER WEDGE NUT,78227419453,0,
2890,1 1/4 DIECAST HUB CONNECTOR,66227700821,0,78174709154
441,1 1/4 KO SNAP IN BLANK,78456410338,0,78174701694
2828,1 1/4 SQUEEZE FLEX CONNECTOR,78456400336,0,78174715412
2331,"1 1/4"" EMT HANGER (MINI)",78101119803,0,78285612025
3256,1 PHASE 100A MAIN CIRCUIT BREAKER (MB) LOADCENTER 30 CIRCUIT,78668905282,0,80476670284
2298,1 PORT MIDSIZE MODULAR COVER,3266465485,0,80442802556
733,1-1/2 48in BLACK HEAT SHRNK,5112859591,0,5400708975
735,1-1/4 48in BLACK HEAT SHRNK,5112859577,0,5400708975
10,1-1/4 BRIDLE RING,78101119565,0,78285676975
894,1/2 1 HOLE EMT STRAP,78461064030,0,78174700920
1466,1/2 187-25 CORD CONNECTOR,78358520021,0,66236450140
56,1/2 25-375 CORD CONNECTOR,78358520022,0,66236450140
731,1/2 50-375 CORD CONNECTOR,78358520023,0,66236450140
729,1/2 50-625 CORD CONNECTOR,78358520024,0,66236450140
2839,1/2 90 DEGREE SCREW CLAMP FLEX CONNECTOR,78456400366,0,78174715804
2936,1/2 CHASE NIPPLE INSULATED,78456411050,0,78621001942
2838,1/2 COMPRESSION CONNECTOR EMT DIECAST,78456400406,0,78174715250
2952,1/2 CONDUIT BODY COVER w/ GASKET,66227700441,0,78174703641
453,1/2 CONDULET ALUM BOX 1G,78227409998,0,9232611083
2968,1/2 CONDULET CAST BOX 2G,78227412648,0,83524300581
450,1/2 CONDULET CAST BOX FEED TRHU 1G,78227440570,0,9232611083
448,1/2 CONDULET CAST BOX FEED TRHU 1G,78227441050,0,9232611083
1484,1/2 CORD RESTRAINT,4089364651,0,66236450140
826,1/2 DIECAST HUB CONNECTOR,78621090344,0,78174709151
2846,1/2 DIECAST HUB CONNECTOR,66227700808,0,78174709151
3232,1/2 FLAT COPPERT WASHER,8593702730,0,
3182,1/2 FLAT WASHER,8593704254,0,8593740340
704,1/2 GROUND ROD CLAMP,78378680066,0,78285630703
440,1/2 KO SNAP IN BLANK,78456410335,0,78174701691
61,1/2 LIQUID TIGHT GRAY,78267311101,0,78267321101
1627,1/2 PHILLIPS WAFER HEAD SCREW,8593783008,0,
27,1/2 RIGID OR EMT HANGER (MINI),78101119800,0,78285612000
2811,1/2 SET SCREW EMT CONNECTOR DIECAST,78456400376,0,78174715230
2429,1/2 SPLIT LOCKWASHER,8593708054,0,
2832,1/2 SQUEEZE FLEX CONNECTOR INSULATED,78456400344,0,1899700038
2814,1/2 STRAIGHT THREADED FLEX CONNECTOR,66227700092,0,78174715507
2570,1/2 X 1-1/2 FENDER WASHER ZP,8593708065,0,
3265,1/2-13 GENERAL DUTY HEX NUT,8593705260,0,
2424,1/2-13 HEX NUT,8593708037,0,
2956,1/2-13 X 10 THREADED ROD,61601310657,0,
2512,1/2-13 X 2 HEX HEAD BOLT,8593708140,0,
3233,"1/2"" BELLEVILLE WASHER",8593702858,0,
3183,1/4 FLAT WASHER,8593704256,0,
2635,1/4 LOCKWASHER 18-8 GRADE,8593708191,0,
2427,1/4 SPLIT LOCKWASHER,8593708051,0,
1446,1/4 TURN KEY LOCK,78672570191,0,
2433,1/4 X 1-1/2 FENDER WASHER,8593708060,0,
2432,1/4 X 1-1/4 FENDER WASHER,8593708059,0,
2553,1/4 X 1-1/4 TAPCON CONCRETE,8593708174,0,
2621,1/4 X 1-3/4 TAPCON CONCRETE,8593708175,0,
2608,1/4 X 2 EYE BOLT,8593708184,0,
2623,1/4 X 2-3/4 TAPCON CONCRETE,8593708243,0,
3185,1/4-14 X 1 HEX HEAD SCREW,8593708227,0,
2422,1/4-20 HEX NUT,8593708034,0,
2552,1/4-20 HEX NUT 18-8 GRADE,8593708188,0,
2465,1/4-20 STEEL DROP ANCHOR,8593708176,0,
2470,1/4-20 X 1 HEX CAP SCREW 18-8 GRADE,8593708195,0,
2450,1/4-20 X 1 HEX HEAD BOLT,8593708120,0,
2444,1/4-20 X 1 MACHINE SCREW,8593708108,0,
3189,1/4-20 X 1 RHMS SLOT 18-8 GRADE,8593704244,0,
2452,1/4-20 X 1-1/2 HEX HEAD BOLT,8593708122,0,
2446,1/4-20 X 1-1/2 MACHINE SCREW,8593708110,0,
2451,1/4-20 X 1-1/4 HEX HEAD BOLT,8593708121,0,
2445,1/4-20 X 1-1/4 MACHINE SCREW,8593708109,0,
2448,1/4-20 X 1/2 HEX HEAD BOLT,8593708118,0,
2442,1/4-20 X 1/2 MACHINE SCREW,8593708106,0,
2447,1/4-20 X 2 MACHINE SCREW,8593708111,0,
2449,1/4-20 X 3/4 HEX HEAD BOLT,8593708119,0,
2443,1/4-20 X 3/4 MACHINE SCREW,8593708107,0,
2441,1/4-20 X 3/8 MACHINE SCREW,8593708105,0,
2634,1/4X 1-1/4 FENDER WASH 18-8 GRADE,8593708194,0,
2459,1/4X 3 TOGGLE BOLT,8593708156,0,
3181,1/8X 3 TOGGLE BOLT,8593708267,0,
2425,10 FLAT WASHER,8593708042,0,
2472,10 X 1 HEX HEAD SCREW,8593708203,0,
2037,10 X 1-1/2 HEX HEAD SCREW,8593707330,0,
2474,10 X 1-1/2 HEX HEAD SCREW,8593708205,0,
2473,10 X 1-1/4 HEX HEAD SCREW,8593708204,0,
2038,10 X 2 HEX HEAD SCREW,8593707331,0,
2475,10 X 2 HEX HEAD SCREW,8593708206,0,
2471,10 X 3/4 HEX HEAD SCREW,8593708202,0,
2479,10-16 X 1 HEX HEAD SCREW,8593708219,0,
2481,10-16 X 1-1/2 HEX HEAD SCREW,8593708221,0,
2480,10-16 X 1-1/4 HEX HEAD SCREW,8593708220,0,
2477,10-16 X 1/2 HEX HEAD SCREW,8593708217,0,
2482,10-16 X 2 HEX HEAD SCREW,8593708222,0,
2478,10-16 X 3/4 HEX HEAD SCREW,8593708218,0,
2421,10-32 HEX NUT,8593708033,0,
2485,10-32 X 3/8 SCREW,8593708358,0,
926,10G - 12G BUTT SPLICE,7498383004,0,78325049046
916,10G FEMALE DISCONNECT,7498382104,0,78325049065
922,10G RING TERMINAL AL,7498380138,0,78325048987
2487,12 X 1 HEX HEAD SCREW,8593708208,0,
2476,12 X 2 HEX HEAD SCREW,8593708293,0,
2483,12-14 X 1 HEX HEAD SCREW,8593708224,0,
2666,12-14 X 3/4 HEX HEAD SCREW,8593708223,0,
549,12/3 SEOOW OD 595,3288603888,0,3288604080
1646,12G GROUND PIGTAIL,5016900996,0,78325047498
2073,12X12X6 NEMA 4/12 DOOR NO KOs,78672585895,0,71767804034
2333,14 - 2 ALUM/COPPER 3 PORT LUG,78378661002,0,66238191101
722,14 -1/0 ALUM/COPPER 2 PORT LUG,78378613322,0,66238191101
1947,14 CIRCUIT GROUND BAR,78211309947,0,78364345239
2582,14/2 FIRE ALARM NON-SHIELDED NON-PLENUM RED JACKET,7940783514,0,3288688121
