CONDUIT & FITTINGS,CONDUIT & FITTINGS,,,,,,,,
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,,,,,,,,
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"1/2""",36.7,133,,3.25,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"3/4""",69.2,144,,3.5,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"1""",116,164,,4,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"1-1/4""",176,185,,4.5,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"1-1/2""",217,226,,5.5,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"2""",266,287,,7,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"2-1/2""",433,369,,9,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"3""",531,410,,10,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"3-1/2""",772,451,,11,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,"4""",784,492,,12,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS",,,,,,,,
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","1/2""",36.7,144,,3.5,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","3/4""",69.2,154,,3.75,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","1""",116,174,,4.25,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","1-1/4""",176,205,,5,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","1-1/2""",217,246,,6,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","2""",266,328,,8,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","2-1/2""",433,410,,10,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","3""",531,492,,12,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","3-1/2""",772,574,,14,,CLF,L1: [$41.03] - (1 electrician),L1
"EMT CONDUIT IN CONCEALED AREAS, WALLS AND CLOSED CEILINGS","4""",784,656,,16,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,EMT CONDUIT INSTALLED IN EXPOSED AREAS,,,,,,,,
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"1/2""",36.7,154,,3.75,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"3/4""",69.2,164,,4,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"1""",116,185,,4.5,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"1-1/4""",176,246,,6,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"1-1/2""",217,328,,8,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"2""",266,410,,10,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"2-1/2""",433,492,,12,,CLF,L1: [$41.03] - (1 electrician),L1
EMT CONDUIT INSTALLED IN EXPOSED AREAS,"3""",531,574,,14,,CLF,L1: [$41.03] - (1 electrician),L1
